Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,Num_of_Baskets,City,Weather,Temperature,Humidity,Occasion,Cluster Labels,Segment
malay,female,fat,56,yes,toddler,big,red,formal,orange,short_sleeve,blue,long,blankets,W3,D10,yes,41,0,10.0,3,Petaling Jaya,Passing clouds,28,78,Normal Day,0,First
foreigner,male,thin,43,no,no_kids,big,green,formal,yellow,short_sleeve,blue,long,clothes,W6,D9,no,46,5,21.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
foreigner,male,thin,25,no,no_kids,big,brown,formal,yellow,long sleeve,purple,long,clothes,W6,D9,no,49,5,12.0,2,Petaling,Passing clouds,28,78,Normal Day,1,Second
foreigner,male,moderate,41,yes,young,big,green,casual,black,short_sleeve,blue,long,clothes,W3,D9,no,20,1,20.0,1,Kuala Lumpur,Passing clouds,28,78,Normal Day,0,First
malay,male,moderate,59,no,no_kids,big,white,casual,black,long sleeve,black,short,blankets,W6,D7,yes,13,1,20.0,3,Petaling Jaya,Passing clouds,28,78,Normal Day,0,First
indian,female,fat,33,no,no_kids,big,red,formal,grey,short_sleeve,black,long,blankets,W4,D7,no,42,5,21.0,1,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
malay,female,moderate,36,yes,toddler,small,yellow,formal,purple,short_sleeve,blue,short,clothes,W4,D7,no,55,1,15.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
indian,female,thin,26,yes,young,small,orange,traditional,white,long sleeve,blue,long,blankets,W3,D9,no,30,3,8.0,3,Kuala Lumpur,Passing clouds,28,78,Normal Day,2,Third
chinese,female,fat,46,yes,toddler,small,red,formal,blue,short_sleeve,red,short,blankets,W6,D8,yes,38,4,15.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,0,First
chinese,female,thin,45,no,no_kids,small,pink,traditional,black,long sleeve,black,long,blankets,W5,D7,yes,52,5,11.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
indian,male,thin,21,no,no_kids,small,purple,formal,purple,long sleeve,blue,short,clothes,W6,D8,yes,11,0,20.0,3,Kuala Lumpur,Passing clouds,28,78,Normal Day,2,Third
indian,male,moderate,38,yes,toddler,small,green,casual,grey,short_sleeve,pink,long,blankets,W6,D8,yes,57,1,11.0,1,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
indian,male,moderate,33,yes,young,small,blue,formal,pink,short_sleeve,purple,long,blankets,W6,D7,yes,54,3,8.0,3,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
chinese,male,fat,23,yes,toddler,big,black,traditional,yellow,long sleeve,blue,long,blankets,W4,D7,yes,44,2,21.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
indian,female,fat,18,yes,baby,big,green,traditional,red,short_sleeve,purple,long,clothes,W4,D10,yes,21,4,8.0,3,Petaling Jaya,Passing clouds,28,78,Normal Day,2,Third
indian,male,thin,31,yes,toddler,small,blue,traditional,pink,short_sleeve,green,long,clothes,W5,D9,no,44,1,15.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
foreigner,female,thin,50,yes,toddler,small,purple,casual,white,short_sleeve,purple,short,blankets,W3,D8,no,25,4,16.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,0,First
foreigner,female,thin,60,no,no_kids,small,grey,traditional,yellow,long sleeve,green,long,blankets,W5,D9,yes,23,3,13.0,1,Kuala Lumpur,Passing clouds,28,78,Normal Day,0,First
chinese,male,thin,28,yes,baby,small,white,casual,brown,long sleeve,blue,short,blankets,W4,D9,yes,54,1,11.0,3,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
foreigner,male,fat,45,yes,young,big,white,traditional,white,short_sleeve,blue,short,blankets,W6,D7,no,20,1,10.0,1,Kuala Lumpur,Passing clouds,28,78,Normal Day,0,First
foreigner,male,moderate,36,yes,baby,small,brown,traditional,pink,long sleeve,black,short,clothes,W4,D8,yes,46,0,13.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
malay,female,thin,60,yes,baby,small,black,formal,purple,long_sleeve,brown,short,clothes,W3,D10,no,15,0,17.0,2,Ampang,Passing clouds,28,78,Normal Day,0,First
malay,male,moderate,29,yes,toddler,small,red,traditional,green,long sleeve,white,long,blankets,W4,D8,no,49,3,17.0,2,Ampang,Passing clouds,28,78,Normal Day,1,Second
malay,male,thin,55,no,no_kids,small,purple,formal,white,short_sleeve,blue,short,clothes,W6,D7,no,55,3,13.0,2,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
malay,female,moderate,48,yes,young,big,blue,traditional,red,short_sleeve,black,long,blankets,W4,D9,yes,15,2,13.0,1,Petaling,Passing clouds,28,78,Normal Day,0,First
malay,female,moderate,41,yes,young,small,black,formal,white,short_sleeve,grey,long,clothes,W4,D7,yes,22,0,13.0,3,Kuala Lumpur,Passing clouds,28,78,Normal Day,0,First
chinese,female,thin,38,yes,toddler,big,white,formal,blue,long sleeve,red,short,clothes,W4,D9,no,13,4,14.0,3,Kuala Lumpur,Passing clouds,28,78,Normal Day,2,Third
malay,male,moderate,59,yes,baby,big,purple,casual,brown,short_sleeve,green,long,blankets,W6,D9,yes,49,3,20.0,1,Kuala Lumpur,Passing clouds,28,78,Normal Day,1,Second
malay,female,moderate,53,no,no_kids,big,white,formal,black,long sleeve,black,long,clothes,W6,D7,no,22,0,15.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,0,First
malay,male,moderate,36,no,no_kids,big,orange,casual,black,short_sleeve,grey,long,clothes,W3,D7,yes,32,4,9.0,3,Putrajaya,Partly cloudy,28,73,Normal Day,2,Third
malay,male,fat,36,no,no_kids,small,white,casual,white,short_sleeve,blue,long,clothes,W6,D8,no,60,4,14.0,1,Putrajaya,Partly cloudy,28,73,Normal Day,1,Second
indian,female,fat,30,no,no_kids,big,white,traditional,green,short_sleeve,black,long,blankets,W3,D8,no,14,2,21.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
indian,male,moderate,50,no,no_kids,small,black,casual,black,short_sleeve,black,long,clothes,W6,D10,no,26,3,12.0,2,Putrajaya,Partly cloudy,28,73,Normal Day,0,First
foreigner,male,thin,44,no,no_kids,big,white,formal,orange,long sleeve,black,long,clothes,W3,D9,no,11,4,8.0,1,Putrajaya,Partly cloudy,28,73,Normal Day,0,First
malay,female,fat,34,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,W3,D7,no,22,5,16.0,1,Putrajaya,Partly cloudy,28,73,Normal Day,2,Third
indian,female,thin,36,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,W4,D8,no,17,4,19.0,2,Cyberjaya,Partly cloudy,28,73,Normal Day,2,Third
malay,female,fat,44,no,no_kids,big,black,traditional,white,long_sleeve,white,long,clothes,W6,D9,yes,30,5,10.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,0,First
malay,female,fat,50,no,no_kids,big,red,traditional,red,long sleeve,red,long,clothes,W5,D9,yes,19,0,15.0,3,Cyberjaya,Partly cloudy,28,73,Normal Day,0,First
indian,female,fat,46,no,no_kids,big,white,formal,purple,long sleeve,black,long,clothes,W6,D7,no,39,5,17.0,1,Cyberjaya,Partly cloudy,28,73,Normal Day,1,Second
indian,female,thin,33,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,W5,D9,no,54,5,7.0,2,Kuala Lumpur,Partly cloudy,28,73,Normal Day,1,Second
malay,female,thin,36,no,no_kids,small,pink,formal,purple,long sleeve,purple,long,clothes,W3,D8,yes,43,0,7.0,1,Putrajaya,Partly cloudy,28,73,Normal Day,1,Second
indian,male,moderate,32,no,no_kids,big,white,casual,brown,short_sleeve,grey,long,clothes,W6,D10,no,18,1,14.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
malay,male,thin,39,no,no_kids,big,black,casual,white,short_sleeve,blue,long,blankets,W4,D8,yes,43,5,14.0,3,Cyberjaya,Partly cloudy,28,73,Normal Day,1,Second
malay,female,thin,53,no,no_kids,big,green,formal,white,long sleeve,black,long,clothes,W5,D10,no,35,4,16.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,0,First
indian,male,fat,45,no,no_kids,big,black,casual,white,short_sleeve,blue,long,clothes,W5,D10,yes,56,5,8.0,3,Cyberjaya,Partly cloudy,28,73,Normal Day,1,Second
malay,male,fat,41,no,no_kids,big,white,casual,black,short_sleeve,green,long,clothes,W5,D10,no,39,4,10.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,1,Second
malay,female,fat,37,no,no_kids,big,grey,casual,green,short_sleeve,blue,long,clothes,W3,D9,no,49,4,21.0,3,Cyberjaya,Partly cloudy,28,73,Normal Day,1,Second
malay,male,moderate,52,no,no_kids,big,blue,traditional,brown,long sleeve,brown,long,clothes,W6,D9,yes,27,0,21.0,2,Putrajaya,Partly cloudy,28,73,Normal Day,0,First
foreigner,male,thin,45,no,no_kids,big,green,casual,green,short_sleeve,blue,long,clothes,W3,D8,yes,51,0,14.0,3,Cyberjaya,Partly cloudy,28,73,Normal Day,1,Second
foreigner,male,thin,43,no,no_kids,small,brown,casual,grey,short_sleeve,brown,short,clothes,W5,D10,no,39,2,10.0,2,Kuala Lumpur,Partly cloudy,28,73,Normal Day,1,Second
malay,female,moderate,38,no,no_kids,big,blue,formal,white,short_sleeve,red,short,clothes,W3,D10,no,33,0,18.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
indian,female,moderate,52,no,no_kids,big,red,casual,orange,short_sleeve,black,short,clothes,W5,D8,no,11,2,9.0,1,Kuala Lumpur,Partly cloudy,28,73,Normal Day,0,First
indian,female,fat,33,no,no_kids,big,black,casual,grey,long sleeve,grey,long,clothes,W3,D7,yes,44,2,11.0,3,Putrajaya,Partly cloudy,28,73,Normal Day,1,Second
malay,male,fat,40,no,no_kids,big,blue,casual,black,short_sleeve,blue,long,clothes,W5,D9,no,48,3,11.0,1,Putrajaya,Partly cloudy,28,73,Normal Day,1,Second
malay,female,thin,33,no,no_kids,small,pink,traditional,purple,long sleeve,purple,long,clothes,W3,D10,no,32,5,9.0,1,Putrajaya,Partly cloudy,28,73,Normal Day,2,Third
indian,male,moderate,50,no,no_kids,big,red,casual,orange,short_sleeve,black,long,clothes,W5,D7,yes,26,4,16.0,1,Cyberjaya,Partly cloudy,28,73,Normal Day,0,First
indian,male,moderate,46,no,no_kids,big,brown,formal,green,long_sleeve,blue,long,clothes,W6,D7,yes,43,1,13.0,3,Putrajaya,Partly cloudy,28,73,Normal Day,1,Second
malay,male,fat,35,no,no_kids,big,blue,casual,black,short_sleeve,blue,long,clothes,W5,D9,no,22,1,8.0,2,Cyberjaya,Partly cloudy,28,73,Normal Day,2,Third
indian,female,thin,28,no,no_kids,big,black,casual,black,short_sleeve,blue,long,blankets,W4,D8,no,19,0,11.0,3,Cyberjaya,Partly cloudy,28,73,Normal Day,2,Third
malay,female,moderate,29,no,no_kids,big,pink,traditional,purple,long sleeve,purple,long,clothes,W5,D10,yes,41,3,16.0,1,Putrajaya,Partly cloudy,28,73,Normal Day,1,Second
malay,female,fat,55,no,no_kids,big,red,traditional,purple,long sleeve,purple,long,clothes,W3,D7,no,28,3,18.0,3,Putrajaya,Partly cloudy,28,73,Normal Day,0,First
indian,male,thin,43,no,no_kids,small,blue,casual,black,short_sleeve,grey,long,clothes,W3,D7,no,21,0,13.0,3,Putrajaya,Partly cloudy,28,73,Normal Day,0,First
chinese,male,fat,54,no,no_kids,big,blue,casual,black,short_sleeve,white,short,clothes,W3,D7,no,50,5,9.0,2,Putrajaya,Partly cloudy,28,73,Normal Day,1,Second
malay,female,moderate,34,no,no_kids,big,black,formal,blue,long sleeve,black,long,clothes,W6,D7,no,53,0,9.0,1,Putrajaya,Partly cloudy,28,73,Normal Day,1,Second
foreigner,female,moderate,41,yes,toddler,big,grey,casual,black,long sleeve,blue,short,clothes,W6,D8,yes,48,4,21.0,1,Petaling,Partly cloudy,28,73,Normal Day,1,Second
malay,male,moderate,60,yes,toddler,big,grey,casual,grey,short_sleeve,black,long,clothes,W5,D10,no,35,0,13.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,0,First
malay,female,fat,23,yes,toddler,small,white,traditional,black,long sleeve,yellow,long,clothes,W3,D7,yes,47,0,19.0,3,Petaling Jaya,Partly cloudy,28,73,Normal Day,1,Second
chinese,male,moderate,45,no,no_kids,big,yellow,formal,pink,short_sleeve,blue,long,blankets,W4,D7,yes,54,0,10.0,2,Kuala Lumpur,Partly cloudy,28,73,Normal Day,1,Second
chinese,female,moderate,23,yes,young,big,pink,traditional,orange,short_sleeve,brown,long,clothes,W5,D8,yes,16,4,8.0,2,Petaling,Partly cloudy,28,73,Normal Day,2,Third
indian,female,fat,26,yes,toddler,big,orange,traditional,black,short_sleeve,brown,short,blankets,W3,D9,yes,43,3,11.0,2,Kuala Lumpur,Partly cloudy,28,73,Normal Day,1,Second
malay,male,fat,39,yes,young,small,orange,casual,yellow,long sleeve,white,long,blankets,W6,D10,no,57,2,17.0,3,Petaling Jaya,Partly cloudy,28,73,Normal Day,1,Second
malay,female,moderate,40,yes,toddler,small,brown,formal,black,short_sleeve,blue,long,blankets,W6,D10,yes,22,3,12.0,3,Petaling,Partly cloudy,28,73,Normal Day,0,First
malay,female,moderate,55,yes,toddler,big,green,traditional,orange,short_sleeve,brown,long,clothes,W4,D7,yes,57,4,11.0,3,Petaling Jaya,Partly cloudy,28,73,Normal Day,1,Second
indian,male,fat,24,yes,toddler,small,yellow,formal,pink,long sleeve,white,long,clothes,W3,D8,no,29,3,11.0,1,Ampang,Partly cloudy,28,73,Normal Day,2,Third
chinese,female,thin,32,no,no_kids,big,brown,traditional,green,long sleeve,black,short,clothes,W4,D7,yes,55,3,13.0,2,Petaling,Partly cloudy,28,73,Normal Day,1,Second
foreigner,male,fat,33,yes,toddler,big,green,formal,black,long sleeve,red,short,clothes,W6,D10,yes,32,0,14.0,3,Petaling Jaya,Partly cloudy,28,73,Normal Day,2,Third
chinese,female,thin,26,no,no_kids,big,brown,casual,pink,short_sleeve,yellow,short,blankets,W5,D9,no,14,0,18.0,1,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
malay,female,thin,30,no,no_kids,big,pink,formal,blue,short_sleeve,red,long,clothes,W4,D7,yes,21,2,11.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
malay,female,moderate,36,no,no_kids,small,yellow,formal,yellow,short_sleeve,blue,long,clothes,W6,D9,no,36,4,8.0,1,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
chinese,female,thin,30,no,no_kids,big,white,traditional,purple,short_sleeve,white,long,clothes,W4,D10,yes,22,5,12.0,1,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
chinese,female,thin,49,yes,young,small,yellow,traditional,orange,long sleeve,grey,long,clothes,W3,D7,yes,11,2,21.0,2,Kuala Lumpur,Partly cloudy,28,73,Normal Day,0,First
indian,female,moderate,24,yes,toddler,small,blue,formal,white,short_sleeve,pink,long,blankets,W3,D9,no,14,2,18.0,2,Petaling,Partly cloudy,28,73,Normal Day,2,Third
chinese,female,thin,35,yes,baby,big,brown,formal,green,short_sleeve,red,long,blankets,W5,D10,no,16,2,8.0,1,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
chinese,female,moderate,48,yes,young,big,brown,traditional,orange,long sleeve,blue,long,clothes,W6,D7,yes,36,4,20.0,2,Petaling,Partly cloudy,28,73,Normal Day,0,First
indian,male,moderate,18,yes,young,big,brown,formal,pink,short_sleeve,blue,short,clothes,W5,D7,no,34,2,9.0,2,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
foreigner,female,thin,33,no,no_kids,small,brown,casual,black,short_sleeve,grey,long,blankets,W5,D9,yes,20,4,10.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
malay,male,fat,20,no,no_kids,small,black,formal,brown,long sleeve,blue,short,clothes,W4,D10,yes,35,0,17.0,3,Kuala Lumpur,Partly cloudy,28,73,Normal Day,2,Third
indian,female,moderate,45,yes,young,small,brown,formal,yellow,long sleeve,black,short,clothes,W4,D9,yes,18,1,15.0,1,Ampang,Partly cloudy,28,73,Normal Day,0,First
indian,female,moderate,41,yes,toddler,big,purple,casual,purple,short_sleeve,black,short,blankets,W6,D9,yes,58,0,18.0,1,Petaling,Partly cloudy,28,73,Normal Day,1,Second
malay,female,thin,48,yes,baby,small,pink,formal,blue,long sleeve,blue,short,clothes,W4,D9,no,60,0,7.0,2,Kuala Lumpur,Partly cloudy,28,73,Normal Day,1,Second
indian,male,fat,53,yes,toddler,small,blue,casual,white,long sleeve,blue,short,blankets,W5,D7,yes,28,0,8.0,3,Shah Alam,Partly cloudy,28,73,Normal Day,0,First
indian,male,thin,53,yes,baby,small,black,casual,purple,short_sleeve,blue,long,clothes,W3,D7,yes,25,1,21.0,3,Petaling,Partly cloudy,28,73,Normal Day,0,First
indian,female,fat,39,no,no_kids,small,blue,formal,black,long sleeve,black,long,clothes,W3,D10,no,31,1,9.0,1,Cyberjaya,Thunderstorms,28,79,Normal Day,2,Third
foreigner,female,fat,54,no,no_kids,big,white,formal,green,long sleeve,white,long,blankets,W5,D8,no,48,5,20.0,3,Kuala Lumpur,Thunderstorms,28,79,Normal Day,1,Second
chinese,female,thin,44,no,no_kids,big,blue,casual,green,short_sleeve,black,long,clothes,W6,D10,yes,29,0,7.0,1,Putrajaya,Thunderstorms,28,79,Normal Day,0,First
malay,female,moderate,47,no,no_kids,big,white,casual,red,short_sleeve,brown,long,clothes,W5,D10,no,42,3,7.0,1,Cyberjaya,Thunderstorms,28,79,Normal Day,1,Second
foreigner,female,fat,36,no,no_kids,big,grey,casual,yellow,short_sleeve,black,long,clothes,W5,D7,no,14,3,19.0,1,Putrajaya,Thunderstorms,28,79,Normal Day,2,Third
foreigner,male,thin,42,no,no_kids,big,white,casual,white,short_sleeve,pink,short,clothes,W6,D9,no,16,2,15.0,2,Cyberjaya,Thunderstorms,28,79,Normal Day,0,First
indian,female,moderate,47,no,no_kids,big,white,casual,red,short_sleeve,grey,short,clothes,W3,D10,no,49,3,11.0,1,Cyberjaya,Thunderstorms,28,79,Normal Day,1,Second
malay,female,fat,31,no,no_kids,big,blue,formal,blue,long sleeve,blue,long,clothes,W4,D8,no,51,1,18.0,2,Kuala Lumpur,Thunderstorms,28,79,Normal Day,1,Second
chinese,male,thin,45,no,no_kids,small,red,formal,red,short_sleeve,blue,short,clothes,W4,D8,no,45,0,18.0,3,Cyberjaya,Thunderstorms,28,79,Normal Day,1,Second
indian,male,fat,34,no,no_kids,big,white,casual,yellow,long_sleeve,blue,long,clothes,W5,D7,yes,27,1,13.0,3,Putrajaya,Thunderstorms,28,79,Normal Day,2,Third
chinese,male,moderate,55,no,no_kids,small,black,formal,brown,short_sleeve,black,short,clothes,W3,D7,no,24,5,16.0,2,Kuala Lumpur,Thunderstorms,28,79,Normal Day,0,First
malay,female,thin,34,no,no_kids,big,blue,formal,orange,long sleeve,blue,long,clothes,W4,D7,no,54,3,15.0,3,Cyberjaya,Thunderstorms,28,79,Normal Day,1,Second
indian,male,moderate,35,no,no_kids,big,red,casual,brown,short_sleeve,blue,short,clothes,W3,D7,no,11,1,13.0,1,Cyberjaya,Thunderstorms,28,79,Normal Day,2,Third
malay,female,moderate,47,no,no_kids,big,black,casual,red,short_sleeve,black,long,clothes,W3,D9,no,43,3,12.0,1,Kuala Lumpur,Thunderstorms,28,79,Normal Day,1,Second
chinese,male,fat,36,no,no_kids,big,blue,casual,grey,short_sleeve,blue,short,clothes,W4,D7,yes,32,1,16.0,2,Kuala Lumpur,Thunderstorms,28,79,Normal Day,2,Third
chinese,female,fat,41,no,no_kids,big,brown,casual,orange,short_sleeve,black,long,clothes,W4,D10,no,34,1,14.0,1,Cyberjaya,Thunderstorms,28,79,Normal Day,0,First
chinese,male,moderate,55,no,no_kids,small,white,casual,blue,short_sleeve,white,short,clothes,W5,D10,yes,29,5,12.0,2,Cyberjaya,Thunderstorms,28,79,Normal Day,0,First
indian,female,thin,30,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,W5,D8,no,31,4,8.0,2,Putrajaya,Thunderstorms,28,79,Normal Day,2,Third
chinese,female,thin,41,no,no_kids,big,orange,casual,grey,long sleeve,blue,long,clothes,W3,D8,no,18,3,16.0,2,Putrajaya,Thunderstorms,28,79,Normal Day,0,First
malay,male,fat,29,no,no_kids,big,red,casual,purple,short_sleeve,white,short,clothes,W4,D8,no,60,5,15.0,3,Putrajaya,Thunderstorms,28,79,Normal Day,1,Second
malay,female,fat,54,no,no_kids,big,blue,casual,black,short_sleeve,black,long,blankets,W3,D9,no,23,1,7.0,3,Kuala Lumpur,Thunderstorms,28,79,Normal Day,0,First
malay,female,thin,50,no,no_kids,small,grey,casual,green,short_sleeve,grey,short,clothes,W6,D10,no,37,4,20.0,3,Kuala Lumpur,Thunderstorms,28,79,Normal Day,0,First
malay,female,fat,41,no,no_kids,small,black,casual,green,short_sleeve,black,long,clothes,W6,D9,no,29,4,7.0,3,Putrajaya,Thunderstorms,28,79,Normal Day,0,First
chinese,male,thin,36,no,no_kids,big,white,casual,white,short_sleeve,blue,short,clothes,W5,D7,no,22,2,21.0,1,Putrajaya,Thunderstorms,28,79,Normal Day,2,Third
malay,female,thin,55,no,no_kids,big,black,casual,white,long_sleeve,black,short,clothes,W6,D9,no,20,3,10.0,2,Cyberjaya,Thunderstorms,28,79,Normal Day,0,First
chinese,male,thin,31,no,no_kids,big,black,casual,white,short_sleeve,grey,long,clothes,W4,D8,no,54,0,18.0,3,Kuala Lumpur,Thunderstorms,28,79,Normal Day,1,Second
malay,male,moderate,37,no,no_kids,big,red,formal,brown,short_sleeve,white,long,blankets,W3,D7,no,15,0,7.0,2,Cyberjaya,Thunderstorms,28,79,Normal Day,2,Third
malay,female,moderate,40,no,no_kids,big,white,casual,red,short_sleeve,black,long,clothes,W3,D8,yes,49,3,13.0,2,Kuala Lumpur,Thunderstorms,28,79,Normal Day,1,Second
malay,female,fat,35,no,no_kids,big,green,casual,red,short_sleeve,grey,long,clothes,W5,D7,no,21,1,14.0,1,Putrajaya,Thunderstorms,28,79,Normal Day,2,Third
malay,male,moderate,42,no,no_kids,big,black,formal,grey,long sleeve,green,long,clothes,W3,D7,no,31,5,19.0,3,Kuala Lumpur,Thunderstorms,28,79,Normal Day,0,First
chinese,male,moderate,54,yes,young,small,black,casual,grey,short_sleeve,red,long,clothes,W4,D8,no,46,3,18.0,2,Kuala Lumpur,Thunderstorms,28,79,Normal Day,1,Second
malay,male,thin,34,no,no_kids,big,red,casual,black,short_sleeve,grey,long,clothes,W4,D7,yes,15,1,15.0,1,Kuala Lumpur,Thunderstorms,28,79,Normal Day,2,Third
malay,male,moderate,29,no,no_kids,big,blue,formal,white,short_sleeve,grey,long,clothes,W6,D8,no,45,2,9.0,1,Cyberjaya,Thunderstorms,28,79,Normal Day,1,Second
indian,female,thin,48,yes,toddler,big,red,casual,red,short_sleeve,black,long,clothes,W3,D10,yes,17,5,18.0,3,Putrajaya,Thunderstorms,28,79,Normal Day,0,First
chinese,female,thin,41,no,no_kids,small,white,casual,yellow,short_sleeve,black,short,blankets,W3,D7,no,60,5,18.0,1,Putrajaya,Thunderstorms,28,79,Normal Day,1,Second
indian,male,fat,29,no,no_kids,big,black,casual,yellow,long_sleeve,grey,long,clothes,W5,D7,no,27,0,17.0,1,Cyberjaya,Thunderstorms,28,79,Normal Day,2,Third
malay,female,fat,48,no,no_kids,big,black,casual,black,long sleeve,pink,short,clothes,W4,D8,no,11,5,14.0,2,Cyberjaya,Thunderstorms,28,79,Normal Day,0,First
indian,male,moderate,36,no,no_kids,big,red,casual,green,short_sleeve,black,long,clothes,W3,D10,no,50,0,18.0,2,Cyberjaya,Thunderstorms,28,79,Normal Day,1,Second
